Name,Address,University,BusinessType,Neighborhood,City,State,NumRatings,Rating,Latitude,Longitude
Southern California Medical Group,3320 S Hill St South East LA Los Angeles CA 90007,'University of Southern California','Medical Centers' 'Health and Medical','South East LA',Los Angeles,CA,2,3.5,34.01971,-118.274281
Harvard Square Shiatsu,12 Arrow St Ste 108 Harvard Square Cambridge MA 02138,'Massachusetts Institute of Technology' 'Harvard University','Massage' 'Beauty and Spas','Harvard Square',Cambridge,MA,4,4,42.3711328,-71.1148158
Faith & Glory Collective,19 King St E 2nd floor Kitchener ON N2G,'University of Waterloo','Tattoo' 'Beauty and Spas',,Kitchener,ON,2,4,43.4496452,-80.488824
Von's Records & Posters,325 W State St West Lafayette IN 47906,'Purdue University','Music & DVDs' 'Books Mags Music and Video' 'Shopping',,West Lafayette,IN,3,3.5,40.423964,-86.908764
JP's Java,2803 San Jacinto Blvd University of Texas Austin TX 78705,'University of Texas - Austin','Food' 'Coffee & Tea','University of Texas',Austin,TX,85,3.5,30.2904945,-97.7344962
Cooper Brown Real Estate,817 West Peachtree Street Suite 220 Midtown Atlanta GA 30308,'Georgia Institute of Technology','Property Management' 'Home Services' 'Real Estate','Midtown',Atlanta,GA,4,3.5,33.7769878,-84.3871775
Winberie's Restaurant & Bar,1 Palmer Sq E Princeton NJ 08542,'Princeton University','Pubs' 'Bars' 'American (Traditional)' 'Nightlife' 'Restaurants',,Princeton,NJ,77,3.5,40.3497226,-74.6608591
Joe's Tavern,16 Division St Cohoes NY 12047,'Rensselaer Polytechnic Institute','Pizza' 'Restaurants',,Cohoes,NY,2,4,42.7808878,-73.7102039
Starbucks,3218 Market St University City Philadelphia PA 19104,'University of Pennsylvania','Food' 'Coffee & Tea','University City',Philadelphia,PA,4,3,39.9552997,-75.1871563
Vitamin Shoppe,5829 Kirby Dr West University Houston TX 77005,'Rice University','Food' 'Specialty Food' 'Health Markets','West University',Houston,TX,2,5,29.719274,-95.41811
Parties Over Boston,257 Marlborough St Back Bay Boston MA 02116,'Massachusetts Institute of Technology' 'Harvard University','Event Planning & Services' 'Party & Event Planning','Back Bay',Boston,MA,2,5,42.3518821,-71.0823831
Nierman Preschool,4126 Executive Dr La Jolla CA 92037,'University of California - San Diego','Elementary Schools' 'Education' 'Preschools',,La Jolla,CA,2,4,32.875199,-117.217668
Pasadena Towers Parking,800 E. Colorado Blvd Pasadena Pasadena CA 91101,'California Institute of Technology','Car Wash' 'Automotive' 'Auto Detailing' 'Parking','Pasadena',Pasadena,CA,3,5,34.14502,-118.132939
Ryan's Wake,403 River St Troy NY 12181,'Rensselaer Polytechnic Institute','Bars' 'Nightlife',,Troy,NY,10,3.5,42.735455,-73.688341
Rick's Steaks,Liberty Place 1625 Chestnut St Mantua Philadelphia PA 19103,'University of Pennsylvania','Cheesesteaks' 'Sandwiches' 'Restaurants','Mantua',Philadelphia,PA,43,3.5,39.96244,-75.19993
Sunset North Car Wash,1023 Marsh St San Luis Obispo CA 93401,'California Polytechnic State University','Car Wash' 'Automotive',,San Luis Obispo,CA,3,2.5,35.280606,-120.659474
Pins and Needles,8 Chambers St Princeton NJ 08542,'Princeton University','Arts & Crafts' 'Shopping',,Princeton,NJ,9,3.5,40.3494332,-74.6627477
Jimmy John's,2401 W Holcombe Blvd West University Houston TX 77246,'Rice University','Sandwiches' 'Restaurants','West University' 'Braeswood Place',Houston,TX,23,4,29.7061077,-95.4147852
South Street Smoke House,3305 South St Lafayette IN 47904,'Purdue University','Barbeque' 'Restaurants',,Lafayette,IN,50,4,40.416886,-86.8595799
Escape Salon,250 W First St Ste 146 Claremont CA 91711,'Harvey Mudd College','Hair Salons' 'Beauty and Spas',,Claremont,CA,13,4,34.0943947,-117.7179955
Grappolo,1040 Broad Street San Luis Obispo CA 93401,'California Polytechnic State University','Wine Bars' 'Bars' 'Italian' 'Nightlife' 'Restaurants',,San Luis Obispo,CA,8,3.5,35.2792631,-120.664846
